"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2007","2007","Firearm","812","4672840","17.38","17.2417134890257"
"Both Sexes","All Races","Alaska","Both","All Ages","2007","2007","Firearm","120","680300","17.64","18.2156552201318"
"Both Sexes","All Races","Arizona","Both","All Ages","2007","2007","Firearm","951","6167681","15.42","15.3786246522294"
"Both Sexes","All Races","Arkansas","Both","All Ages","2007","2007","Firearm","426","2848650","14.95","15.0872916308344"
"Both Sexes","All Races","California","Both","All Ages","2007","2007","Firearm","3268","36250311","9.02","8.84123738394964"
"Both Sexes","All Races","Colorado","Both","All Ages","2007","2007","Firearm","505","4803868","10.51","10.3827420835916"
"Both Sexes","All Races","Connecticut","Both","All Ages","2007","2007","Firearm","149","3527270","4.22","4.15444355659943"
"Both Sexes","All Races","Delaware","Both","All Ages","2007","2007","Firearm","79","871749","9.06","8.91208977339253"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2007","2007","Firearm","144","574404","25.07","21.6557791696273"
"Both Sexes","All Races","Florida","Both","All Ages","2007","2007","Firearm","2272","18367842","12.37","12.0199221805488"
"Both Sexes","All Races","Georgia","Both","All Ages","2007","2007","Firearm","1244","9349988","13.3","13.4047957319469"
"Both Sexes","All Races","Hawaii","Both","All Ages","2007","2007","Firearm","36","1315675","2.74","2.43602074525804"
"Both Sexes","All Races","Idaho","Both","All Ages","2007","2007","Firearm","187","1505105","12.42","12.7461022576703"
"Both Sexes","All Races","Illinois","Both","All Ages","2007","2007","Firearm","1032","12695866","8.13","8.02549941842675"
"Both Sexes","All Races","Indiana","Both","All Ages","2007","2007","Firearm","670","6379599","10.5","10.4978945067537"
"Both Sexes","All Races","Iowa","Both","All Ages","2007","2007","Firearm","157","2999212","5.23","4.98869040647407"
"Both Sexes","All Races","Kansas","Both","All Ages","2007","2007","Firearm","292","2783785","10.49","10.3488896598659"
"Both Sexes","All Races","Kentucky","Both","All Ages","2007","2007","Firearm","612","4256672","14.38","14.1149121015314"
"Both Sexes","All Races","Louisiana","Both","All Ages","2007","2007","Firearm","869","4375581","19.86","19.7663191254879"
"Both Sexes","All Races","Maine","Both","All Ages","2007","2007","Firearm","107","1327040","8.06","7.6068257727516"
"Both Sexes","All Races","Maryland","Both","All Ages","2007","2007","Firearm","678","5653408","11.99","12.0422020045396"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2007","2007","Firearm","235","6431559","3.65","3.55347865382852"
"Both Sexes","All Races","Michigan","Both","All Ages","2007","2007","Firearm","1095","10001284","10.95","11.0258387574524"
"Both Sexes","All Races","Minnesota","Both","All Ages","2007","2007","Firearm","344","5207203","6.61","6.48378699058486"
"Both Sexes","All Races","Mississippi","Both","All Ages","2007","2007","Firearm","535","2928350","18.27","18.2839413914546"
"Both Sexes","All Races","Missouri","Both","All Ages","2007","2007","Firearm","759","5887612","12.89","12.7894341637839"
"Both Sexes","All Races","Montana","Both","All Ages","2007","2007","Firearm","139","964706","14.41","13.5438556440082"
"Both Sexes","All Races","Nebraska","Both","All Ages","2007","2007","Firearm","142","1783440","7.96","7.95054713679638"
"Both Sexes","All Races","Nevada","Both","All Ages","2007","2007","Firearm","414","2601072","15.92","15.8676863001528"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2007","2007","Firearm","78","1312540","5.94","5.55645133113062"
"Both Sexes","All Races","New Jersey","Both","All Ages","2007","2007","Firearm","446","8677885","5.14","5.25440347291116"
"Both Sexes","All Races","New Mexico","Both","All Ages","2007","2007","Firearm","295","1990070","14.82","14.8471888597139"
"Both Sexes","All Races","New York","Both","All Ages","2007","2007","Firearm","985","19132335","5.15","5.04301047359911"
"Both Sexes","All Races","North Carolina","Both","All Ages","2007","2007","Firearm","1116","9118037","12.24","12.1656229795475"
"Both Sexes","All Races","North Dakota","Both","All Ages","2007","2007","Firearm","57","652822","8.73","8.27459863457979"
"Both Sexes","All Races","Ohio","Both","All Ages","2007","2007","Firearm","1105","11500468","9.61","9.55199679998394"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2007","2007","Firearm","482","3634349","13.26","13.176302606809"
"Both Sexes","All Races","Oregon","Both","All Ages","2007","2007","Firearm","387","3722417","10.4","9.90731989550569"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2007","2007","Firearm","1325","12563937","10.55","10.5166418271363"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2007","2007","Firearm","37","1057315","3.5","3.40436200237488"
"Both Sexes","All Races","South Carolina","Both","All Ages","2007","2007","Firearm","592","4444110","13.32","13.0899739136391"
"Both Sexes","All Races","South Dakota","Both","All Ages","2007","2007","Firearm","52","791623","6.57","6.13507660939936"
"Both Sexes","All Races","Tennessee","Both","All Ages","2007","2007","Firearm","924","6175727","14.96","14.7442766644031"
"Both Sexes","All Races","Texas","Both","All Ages","2007","2007","Firearm","2561","23831983","10.75","10.8902350160002"
"Both Sexes","All Races","Utah","Both","All Ages","2007","2007","Firearm","253","2597746","9.74","10.627414268515"
"Both Sexes","All Races","Vermont","Both","All Ages","2007","2007","Firearm","52","623481","8.34","8.07912340789259"
