"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2006","2006","Firearm","780","4628981","16.85","16.6953664186617"
"Both Sexes","All Races","Alaska","Both","All Ages","2006","2006","Firearm","111","675302","16.44","16.9364790970906"
"Both Sexes","All Races","Arizona","Both","All Ages","2006","2006","Firearm","982","6029141","16.29","16.2171981648104"
"Both Sexes","All Races","Arkansas","Both","All Ages","2006","2006","Firearm","426","2821761","15.1","15.1208515367856"
"Both Sexes","All Races","California","Both","All Ages","2006","2006","Firearm","3363","36021202","9.34","9.14746564486866"
"Both Sexes","All Races","Colorado","Both","All Ages","2006","2006","Firearm","497","4720423","10.53","10.3271636799001"
"Both Sexes","All Races","Connecticut","Both","All Ages","2006","2006","Firearm","173","3517460","4.92","4.98653163943675"
"Both Sexes","All Races","Delaware","Both","All Ages","2006","2006","Firearm","79","859268","9.19","9.19490745552357"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2006","2006","Firearm","134","570681","23.48","19.9859146578159"
"Both Sexes","All Races","Florida","Both","All Ages","2006","2006","Firearm","2083","18166990","11.47","11.0463923084874"
"Both Sexes","All Races","Georgia","Both","All Ages","2006","2006","Firearm","1144","9155813","12.49","12.5367585139662"
"Both Sexes","All Races","Hawaii","Both","All Ages","2006","2006","Firearm","33","1309731","2.52","2.38464559088615"
"Both Sexes","All Races","Idaho","Both","All Ages","2006","2006","Firearm","180","1468669","12.26","12.6941397691869"
"Both Sexes","All Races","Illinois","Both","All Ages","2006","2006","Firearm","1036","12643955","8.19","8.07965004444045"
"Both Sexes","All Races","Indiana","Both","All Ages","2006","2006","Firearm","742","6332669","11.72","11.6289148780836"
"Both Sexes","All Races","Iowa","Both","All Ages","2006","2006","Firearm","193","2982644","6.47","6.34148023962593"
"Both Sexes","All Races","Kansas","Both","All Ages","2006","2006","Firearm","299","2762931","10.82","10.8354009321866"
"Both Sexes","All Races","Kentucky","Both","All Ages","2006","2006","Firearm","531","4219239","12.59","12.4712850406833"
"Both Sexes","All Races","Louisiana","Both","All Ages","2006","2006","Firearm","831","4302665","19.31","19.0203829723796"
"Both Sexes","All Races","Maine","Both","All Ages","2006","2006","Firearm","105","1323619","7.93","7.28019828508676"
"Both Sexes","All Races","Maryland","Both","All Ages","2006","2006","Firearm","678","5627367","12.05","12.0965149588257"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2006","2006","Firearm","211","6410084","3.29","3.21582724463909"
"Both Sexes","All Races","Michigan","Both","All Ages","2006","2006","Firearm","1157","10036081","11.53","11.5338367621428"
"Both Sexes","All Races","Minnesota","Both","All Ages","2006","2006","Firearm","329","5163555","6.37","6.30335708830845"
"Both Sexes","All Races","Mississippi","Both","All Ages","2006","2006","Firearm","475","2904978","16.35","16.5408558315988"
"Both Sexes","All Races","Missouri","Both","All Ages","2006","2006","Firearm","767","5842704","13.13","13.0043165688363"
"Both Sexes","All Races","Montana","Both","All Ages","2006","2006","Firearm","120","952692","12.6","12.2532917616263"
"Both Sexes","All Races","Nebraska","Both","All Ages","2006","2006","Firearm","141","1772693","7.95","7.68549641381511"
"Both Sexes","All Races","Nevada","Both","All Ages","2006","2006","Firearm","405","2522658","16.05","16.3006086290951"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2006","2006","Firearm","82","1308389","6.27","6.21573966204261"
"Both Sexes","All Races","New Jersey","Both","All Ages","2006","2006","Firearm","492","8661679","5.68","5.82375778093332"
"Both Sexes","All Races","New Mexico","Both","All Ages","2006","2006","Firearm","283","1962137","14.42","14.4461292084109"
"Both Sexes","All Races","New York","Both","All Ages","2006","2006","Firearm","1002","19104631","5.24","5.14193264714608"
"Both Sexes","All Races","North Carolina","Both","All Ages","2006","2006","Firearm","1133","8917270","12.71","12.5468355772169"
"Both Sexes","All Races","North Dakota","Both","All Ages","2006","2006","Firearm","46","649422","7.08","6.61911855917877"
"Both Sexes","All Races","Ohio","Both","All Ages","2006","2006","Firearm","1114","11481213","9.7","9.66260409347551"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2006","2006","Firearm","482","3594090","13.41","13.2621871311683"
"Both Sexes","All Races","Oregon","Both","All Ages","2006","2006","Firearm","384","3670883","10.46","10.1628175994572"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2006","2006","Firearm","1371","12510809","10.96","10.8968627998703"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2006","2006","Firearm","47","1063096","4.42","4.21453578073072"
