"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2017","2017","Firearm","1124","4874747","23.06","22.8531474662823"
"Both Sexes","All Races","Alaska","Both","All Ages","2017","2017","Firearm","180","739795","24.33","24.5316538230716"
"Both Sexes","All Races","Arizona","Both","All Ages","2017","2017","Firearm","1134","7016270","16.16","15.6869551861733"
"Both Sexes","All Races","Arkansas","Both","All Ages","2017","2017","Firearm","613","3004279","20.4","20.2332223576063"
"Both Sexes","All Races","California","Both","All Ages","2017","2017","Firearm","3184","39536653","8.05","7.82431671340799"
"Both Sexes","All Races","Colorado","Both","All Ages","2017","2017","Firearm","779","5607154","13.89","13.3795064578984"
"Both Sexes","All Races","Connecticut","Both","All Ages","2017","2017","Firearm","188","3588184","5.24","5.12808288099592"
"Both Sexes","All Races","Delaware","Both","All Ages","2017","2017","Firearm","111","961939","11.54","11.5737516467625"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2017","2017","Firearm","100","693972","14.41","12.9678580898328"
"Both Sexes","All Races","Florida","Both","All Ages","2017","2017","Firearm","2724","20984400","12.98","12.3089844032336"
"Both Sexes","All Races","Georgia","Both","All Ages","2017","2017","Firearm","1623","10429379","15.56","15.3614519552584"
"Both Sexes","All Races","Hawaii","Both","All Ages","2017","2017","Firearm","39","1427538","2.73","2.44794510053459"
"Both Sexes","All Races","Idaho","Both","All Ages","2017","2017","Firearm","280","1716943","16.31","16.4440138516419"
"Both Sexes","All Races","Illinois","Both","All Ages","2017","2017","Firearm","1543","12802023","12.05","12.0505810175213"
"Both Sexes","All Races","Indiana","Both","All Ages","2017","2017","Firearm","1016","6666818","15.24","15.1838018822355"
"Both Sexes","All Races","Iowa","Both","All Ages","2017","2017","Firearm","293","3145711","9.31","9.02603074897957"
"Both Sexes","All Races","Kansas","Both","All Ages","2017","2017","Firearm","466","2913123","16","15.87363059295"
"Both Sexes","All Races","Kentucky","Both","All Ages","2017","2017","Firearm","730","4454189","16.39","16.196601652832"
"Both Sexes","All Races","Louisiana","Both","All Ages","2017","2017","Firearm","1008","4684333","21.52","21.6041046396071"
"Both Sexes","All Races","Maine","Both","All Ages","2017","2017","Firearm","172","1335907","12.88","11.5908529886227"
"Both Sexes","All Races","Maryland","Both","All Ages","2017","2017","Firearm","742","6052177","12.26","12.252200583886"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2017","2017","Firearm","262","6859819","3.82","3.67920353854706"
"Both Sexes","All Races","Michigan","Both","All Ages","2017","2017","Firearm","1138","9962311","11.42","11.1824494547855"
"Both Sexes","All Races","Minnesota","Both","All Ages","2017","2017","Firearm","465","5576606","8.34","8.21970588785508"
"Both Sexes","All Races","Mississippi","Both","All Ages","2017","2017","Firearm","632","2984100","21.18","21.4958088026723"
"Both Sexes","All Races","Missouri","Both","All Ages","2017","2017","Firearm","1307","6113532","21.38","21.3183126562143"
"Both Sexes","All Races","Montana","Both","All Ages","2017","2017","Firearm","244","1050493","23.23","22.5946108408555"
"Both Sexes","All Races","Nebraska","Both","All Ages","2017","2017","Firearm","160","1920076","8.33","8.3058442015903"
"Both Sexes","All Races","Nevada","Both","All Ages","2017","2017","Firearm","508","2998039","16.94","16.6950965413284"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2017","2017","Firearm","146","1342795","10.87","10.3358787520524"
"Both Sexes","All Races","New Jersey","Both","All Ages","2017","2017","Firearm","478","9005644","5.31","5.32954662056932"
"Both Sexes","All Races","New Mexico","Both","All Ages","2017","2017","Firearm","394","2088070","18.87","18.5005274264832"
"Both Sexes","All Races","New York","Both","All Ages","2017","2017","Firearm","772","19849399","3.89","3.7182664503932"
"Both Sexes","All Races","North Carolina","Both","All Ages","2017","2017","Firearm","1430","10273419","13.92","13.6299758471193"
"Both Sexes","All Races","North Dakota","Both","All Ages","2017","2017","Firearm","103","755393","13.64","13.1805786610623"
"Both Sexes","All Races","Ohio","Both","All Ages","2017","2017","Firearm","1589","11658609","13.63","13.6776441946076"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2017","2017","Firearm","681","3930864","17.32","17.1591213875915"
"Both Sexes","All Races","Oregon","Both","All Ages","2017","2017","Firearm","528","4142776","12.75","12.0794124808567"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2017","2017","Firearm","1636","12805537","12.78","12.4374132861518"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2017","2017","Firearm","43","1059639","4.06","3.84263318668804"
"Both Sexes","All Races","South Carolina","Both","All Ages","2017","2017","Firearm","893","5024369","17.77","17.5820307194835"
"Both Sexes","All Races","South Dakota","Both","All Ages","2017","2017","Firearm","101","869666","11.61","11.8291044152656"
"Both Sexes","All Races","Tennessee","Both","All Ages","2017","2017","Firearm","1246","6715984","18.55","18.4480574722447"
"Both Sexes","All Races","Texas","Both","All Ages","2017","2017","Firearm","3513","28304596","12.41","12.3585941167872"
"Both Sexes","All Races","Utah","Both","All Ages","2017","2017","Firearm","410","3101833","13.22","14.0312144381828"
"Both Sexes","All Races","Vermont","Both","All Ages","2017","2017","Firearm","70","623657","11.22","11.8102894182908"
"Both Sexes","All Races","Virginia","Both","All Ages","2017","2017","Firearm","1041","8470020","12.29","11.8550646158082"
"Both Sexes","All Races","Washington","Both","All Ages","2017","2017","Firearm","849","7405743","11.46","11.0597837726501"
"Both Sexes","All Races","West Virginia","Both","All Ages","2017","2017","Firearm","348","1815857","19.16","18.5850195966099"
"Both Sexes","All Races","Wisconsin","Both","All Ages","2017","2017","Firearm","624","5795483","10.77","10.5336132093329"
"Both Sexes","All Races","Wyoming","Both","All Ages","2017","2017","Firearm","113","579315","19.51","18.74367815287"
"Both Sexes","All Races","","Both","All Ages","2017","2017","Firearm","39773","325719178","12.21","."
