"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2003","2003","Firearm","765","4503491","16.99","16.796160508821"
"Both Sexes","All Races","Alaska","Both","All Ages","2003","2003","Firearm","120","648414","18.51","19.2423216503844"
"Both Sexes","All Races","Arizona","Both","All Ages","2003","2003","Firearm","849","5510364","15.41","15.2919788087686"
"Both Sexes","All Races","Arkansas","Both","All Ages","2003","2003","Firearm","413","2724816","15.16","14.963867248716"
"Both Sexes","All Races","California","Both","All Ages","2003","2003","Firearm","3468","35253159","9.84","9.77705518581469"
"Both Sexes","All Races","Colorado","Both","All Ages","2003","2003","Firearm","501","4528732","11.06","11.1280813466702"
"Both Sexes","All Races","Connecticut","Both","All Ages","2003","2003","Firearm","153","3484336","4.39","4.37382775701513"
"Both Sexes","All Races","Delaware","Both","All Ages","2003","2003","Firearm","65","818003","7.95","7.86213060215254"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2003","2003","Firearm","167","568502","29.38","25.7148198008901"
"Both Sexes","All Races","Florida","Both","All Ages","2003","2003","Firearm","1940","17004085","11.41","11.0458062731849"
"Both Sexes","All Races","Georgia","Both","All Ages","2003","2003","Firearm","1173","8622793","13.6","13.7183232689801"
"Both Sexes","All Races","Hawaii","Both","All Ages","2003","2003","Firearm","37","1251154","2.96","2.88479301936821"
"Both Sexes","All Races","Idaho","Both","All Ages","2003","2003","Firearm","164","1363380","12.03","12.3336399582139"
"Both Sexes","All Races","Illinois","Both","All Ages","2003","2003","Firearm","1146","12556006","9.13","9.01036635087778"
"Both Sexes","All Races","Indiana","Both","All Ages","2003","2003","Firearm","696","6196638","11.23","11.1925017607476"
"Both Sexes","All Races","Iowa","Both","All Ages","2003","2003","Firearm","208","2941999","7.07","6.93787648208406"
"Both Sexes","All Races","Kansas","Both","All Ages","2003","2003","Firearm","304","2723004","11.16","11.1330804812206"
"Both Sexes","All Races","Kentucky","Both","All Ages","2003","2003","Firearm","560","4117170","13.6","13.3752246745287"
"Both Sexes","All Races","Louisiana","Both","All Ages","2003","2003","Firearm","847","4521042","18.73","18.6099552701486"
"Both Sexes","All Races","Maine","Both","All Ages","2003","2003","Firearm","82","1306513","6.28","6.02211918354392"
"Both Sexes","All Races","Maryland","Both","All Ages","2003","2003","Firearm","648","5496269","11.79","11.9551840794406"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2003","2003","Firearm","204","6422565","3.18","3.08886284894659"
"Both Sexes","All Races","Michigan","Both","All Ages","2003","2003","Firearm","1030","10041152","10.26","10.3290446988329"
"Both Sexes","All Races","Minnesota","Both","All Ages","2003","2003","Firearm","332","5053572","6.57","6.50437324151957"
"Both Sexes","All Races","Mississippi","Both","All Ages","2003","2003","Firearm","477","2868312","16.63","16.8070264813833"
"Both Sexes","All Races","Missouri","Both","All Ages","2003","2003","Firearm","657","5709403","11.51","11.4214650420377"
"Both Sexes","All Races","Montana","Both","All Ages","2003","2003","Firearm","145","919630","15.77","15.6789608663539"
"Both Sexes","All Races","Nebraska","Both","All Ages","2003","2003","Firearm","134","1738643","7.71","7.64292076118405"
"Both Sexes","All Races","Nevada","Both","All Ages","2003","2003","Firearm","374","2248850","16.63","17.0370596847175"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2003","2003","Firearm","89","1279840","6.95","6.80400875412259"
"Both Sexes","All Races","New Jersey","Both","All Ages","2003","2003","Firearm","458","8601402","5.32","5.42097484170651"
"Both Sexes","All Races","New Mexico","Both","All Ages","2003","2003","Firearm","326","1877574","17.36","17.5529371792726"
"Both Sexes","All Races","New York","Both","All Ages","2003","2003","Firearm","1034","19175939","5.39","5.32001231475857"
"Both Sexes","All Races","North Carolina","Both","All Ages","2003","2003","Firearm","1055","8422501","12.53","12.354195628509"
"Both Sexes","All Races","North Dakota","Both","All Ages","2003","2003","Firearm","58","638817","9.08","8.82831098307762"
"Both Sexes","All Races","Ohio","Both","All Ages","2003","2003","Firearm","934","11434788","8.17","8.11663898828012"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2003","2003","Firearm","449","3504892","12.81","12.77444495592"
"Both Sexes","All Races","Oregon","Both","All Ages","2003","2003","Firearm","395","3547376","11.13","10.7229057353804"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2003","2003","Firearm","1230","12374658","9.94","9.8740376442914"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2003","2003","Firearm","35","1071342","3.27","3.11510557297753"
"Both Sexes","All Races","South Carolina","Both","All Ages","2003","2003","Firearm","593","4150297","14.29","14.1691222082622"
"Both Sexes","All Races","South Dakota","Both","All Ages","2003","2003","Firearm","76","763729","9.95","9.85901710811658"
"Both Sexes","All Races","Tennessee","Both","All Ages","2003","2003","Firearm","837","5847812","14.31","14.1089944075837"
"Both Sexes","All Races","Texas","Both","All Ages","2003","2003","Firearm","2432","22030931","11.04","11.2144772584652"
"Both Sexes","All Races","Utah","Both","All Ages","2003","2003","Firearm","230","2360137","9.75","10.5097202565366"
"Both Sexes","All Races","Vermont","Both","All Ages","2003","2003","Firearm","48","617858","7.77","7.57897830397704"
"Both Sexes","All Races","Virginia","Both","All Ages","2003","2003","Firearm","811","7366977","11.01","10.8558492232057"
"Both Sexes","All Races","Washington","Both","All Ages","2003","2003","Firearm","565","6104115","9.26","9.17220842554157"
"Both Sexes","All Races","West Virginia","Both","All Ages","2003","2003","Firearm","265","1812295","14.62","14.009250221635"
"Both Sexes","All Races","Wisconsin","Both","All Ages","2003","2003","Firearm","468","5479203","8.54","8.43869334985905"
"Both Sexes","All Races","Wyoming","Both","All Ages","2003","2003","Firearm","89","503453","17.68","17.4553363528738"
"Both Sexes","All Races","","Both","All Ages","2003","2003","Firearm","30136","290107933","10.39","."
