"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2002","2002","Firearm","724","4480089","16.16","16.0769250828885"
"Both Sexes","All Races","Alaska","Both","All Ages","2002","2002","Firearm","127","642337","19.77","19.8865028303466"
"Both Sexes","All Races","Arizona","Both","All Ages","2002","2002","Firearm","968","5396255","17.94","17.8894551539879"
"Both Sexes","All Races","Arkansas","Both","All Ages","2002","2002","Firearm","441","2705927","16.3","16.2940317077176"
"Both Sexes","All Races","California","Both","All Ages","2002","2002","Firearm","3410","34871843","9.78","9.75290953533039"
"Both Sexes","All Races","Colorado","Both","All Ages","2002","2002","Firearm","517","4490406","11.51","11.4651161052227"
"Both Sexes","All Races","Connecticut","Both","All Ages","2002","2002","Firearm","147","3458749","4.25","4.31976616710493"
"Both Sexes","All Races","Delaware","Both","All Ages","2002","2002","Firearm","74","806169","9.18","9.07422141612665"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2002","2002","Firearm","195","573158","34.02","29.7891391307704"
"Both Sexes","All Races","Florida","Both","All Ages","2002","2002","Firearm","1886","16689370","11.3","10.9654666638323"
"Both Sexes","All Races","Georgia","Both","All Ages","2002","2002","Firearm","1133","8508256","13.32","13.3892826058198"
"Both Sexes","All Races","Hawaii","Both","All Ages","2002","2002","Firearm","36","1239613","2.9","2.81624629625895"
"Both Sexes","All Races","Idaho","Both","All Ages","2002","2002","Firearm","163","1340372","12.16","12.4188120548303"
"Both Sexes","All Races","Illinois","Both","All Ages","2002","2002","Firearm","1231","12525556","9.83","9.69030837373018"
"Both Sexes","All Races","Indiana","Both","All Ages","2002","2002","Firearm","723","6155967","11.74","11.675243606021"
"Both Sexes","All Races","Iowa","Both","All Ages","2002","2002","Firearm","201","2934234","6.85","6.7260945363085"
"Both Sexes","All Races","Kansas","Both","All Ages","2002","2002","Firearm","268","2713535","9.88","9.70473174166049"
"Both Sexes","All Races","Kentucky","Both","All Ages","2002","2002","Firearm","544","4089875","13.3","13.044621462162"
"Both Sexes","All Races","Louisiana","Both","All Ages","2002","2002","Firearm","876","4497267","19.48","19.3095856103412"
"Both Sexes","All Races","Maine","Both","All Ages","2002","2002","Firearm","88","1295960","6.79","6.62613672447799"
