"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2014","2014","Firearm","815","4840037","16.84","16.8472325749689"
"Both Sexes","All Races","Alaska","Both","All Ages","2014","2014","Firearm","145","736759","19.68","19.0806094232141"
"Both Sexes","All Races","Arizona","Both","All Ages","2014","2014","Firearm","927","6706435","13.82","13.4963697987385"
"Both Sexes","All Races","Arkansas","Both","All Ages","2014","2014","Firearm","496","2964800","16.73","16.5154242399676"
"Both Sexes","All Races","California","Both","All Ages","2014","2014","Firearm","2942","38701278","7.6","7.37636642853412"
"Both Sexes","All Races","Colorado","Both","All Ages","2014","2014","Firearm","663","5342311","12.41","12.2339674782232"
"Both Sexes","All Races","Connecticut","Both","All Ages","2014","2014","Firearm","187","3600188","5.19","4.9209604279998"
"Both Sexes","All Races","Delaware","Both","All Ages","2014","2014","Firearm","102","934805","10.91","10.9154315097895"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2014","2014","Firearm","86","660797","13.01","11.2976295018073"
"Both Sexes","All Races","Florida","Both","All Ages","2014","2014","Firearm","2410","19897747","12.11","11.4718822521048"
"Both Sexes","All Races","Georgia","Both","All Ages","2014","2014","Firearm","1391","10083850","13.79","13.6417587291491"
"Both Sexes","All Races","Hawaii","Both","All Ages","2014","2014","Firearm","40","1417710","2.82","2.68066254868231"
"Both Sexes","All Races","Idaho","Both","All Ages","2014","2014","Firearm","213","1630391","13.06","13.2153007899294"
"Both Sexes","All Races","Illinois","Both","All Ages","2014","2014","Firearm","1179","12882438","9.15","9.03921767615964"
"Both Sexes","All Races","Indiana","Both","All Ages","2014","2014","Firearm","818","6593182","12.41","12.3451307941527"
"Both Sexes","All Races","Iowa","Both","All Ages","2014","2014","Firearm","241","3105563","7.76","7.3669141304544"
"Both Sexes","All Races","Kansas","Both","All Ages","2014","2014","Firearm","329","2899553","11.35","11.2869246281214"
"Both Sexes","All Races","Kentucky","Both","All Ages","2014","2014","Firearm","634","4410415","14.38","13.9627587408304"
"Both Sexes","All Races","Louisiana","Both","All Ages","2014","2014","Firearm","896","4648797","19.27","18.9633838647721"
"Both Sexes","All Races","Maine","Both","All Ages","2014","2014","Firearm","133","1328903","10.01","9.42397381274422"
"Both Sexes","All Races","Maryland","Both","All Ages","2014","2014","Firearm","546","5970245","9.15","8.98471608455173"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2014","2014","Firearm","226","6757925","3.34","3.11660805384727"
"Both Sexes","All Races","Michigan","Both","All Ages","2014","2014","Firearm","1095","9914675","11.04","10.9924949356462"
"Both Sexes","All Races","Minnesota","Both","All Ages","2014","2014","Firearm","377","5452649","6.91","6.63390657510727"
"Both Sexes","All Races","Mississippi","Both","All Ages","2014","2014","Firearm","547","2988578","18.3","18.3196085933789"
"Both Sexes","All Races","Missouri","Both","All Ages","2014","2014","Firearm","943","6058014","15.57","15.2322132623067"
"Both Sexes","All Races","Montana","Both","All Ages","2014","2014","Firearm","172","1019931","16.86","16.1237877324537"
"Both Sexes","All Races","Nebraska","Both","All Ages","2014","2014","Firearm","179","1880920","9.52","9.43271327364242"
"Both Sexes","All Races","Nevada","Both","All Ages","2014","2014","Firearm","429","2831730","15.15","14.7488797956075"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2014","2014","Firearm","122","1328684","9.18","8.62586817899062"
"Both Sexes","All Races","New Jersey","Both","All Ages","2014","2014","Firearm","468","8943010","5.23","5.27578500893928"
"Both Sexes","All Races","New Mexico","Both","All Ages","2014","2014","Firearm","340","2083207","16.32","15.8586865335824"
"Both Sexes","All Races","New York","Both","All Ages","2014","2014","Firearm","875","19773580","4.43","4.19347245553809"
"Both Sexes","All Races","North Carolina","Both","All Ages","2014","2014","Firearm","1206","9941160","12.13","11.7549192263885"
"Both Sexes","All Races","North Dakota","Both","All Ages","2014","2014","Firearm","96","738658","13","12.0496391751642"
"Both Sexes","All Races","Ohio","Both","All Ages","2014","2014","Firearm","1211","11593741","10.45","10.3002139150096"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2014","2014","Firearm","611","3875008","15.77","15.6285265509202"
"Both Sexes","All Races","Oregon","Both","All Ages","2014","2014","Firearm","497","3960673","12.55","11.7317939172"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2014","2014","Firearm","1390","12790341","10.87","10.4143451851916"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2014","2014","Firearm","34","1054782","3.22","2.96896600476429"
"Both Sexes","All Races","South Carolina","Both","All Ages","2014","2014","Firearm","767","4824758","15.9","15.4318182977597"
"Both Sexes","All Races","South Dakota","Both","All Ages","2014","2014","Firearm","89","849455","10.48","10.3685170887277"
"Both Sexes","All Races","Tennessee","Both","All Ages","2014","2014","Firearm","1016","6540007","15.54","15.1108190146594"
"Both Sexes","All Races","Texas","Both","All Ages","2014","2014","Firearm","2848","26954436","10.57","10.6488178666636"
"Both Sexes","All Races","Utah","Both","All Ages","2014","2014","Firearm","337","2938671","11.47","12.4194127536618"
"Both Sexes","All Races","Vermont","Both","All Ages","2014","2014","Firearm","69","625665","11.03","10.2096571516564"
"Both Sexes","All Races","Virginia","Both","All Ages","2014","2014","Firearm","889","8316902","10.69","10.2788393442686"
"Both Sexes","All Races","Washington","Both","All Ages","2014","2014","Firearm","702","7046931","9.96","9.67432207034852"
"Both Sexes","All Races","West Virginia","Both","All Ages","2014","2014","Firearm","286","1847624","15.48","14.58113043435"
"Both Sexes","All Races","Wisconsin","Both","All Ages","2014","2014","Firearm","487","5751272","8.47","8.20907104297632"
"Both Sexes","All Races","Wyoming","Both","All Ages","2014","2014","Firearm","93","583334","15.94","16.3430331961248"
"Both Sexes","All Races","","Both","All Ages","2014","2014","Firearm","33594","318622525","10.54","."
