"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","1999","Firearm","790","4430143","17.83","17.6948619800074"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","1999","Firearm","88","624781","14.08","15.9047891274454"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","1999","Firearm","822","5023824","16.36","16.3077379455099"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","1999","Firearm","388","2651860","14.63","14.6477212059519"
"Both Sexes","All Races","California","Both","All Ages","1999","1999","Firearm","3054","33499204","9.12","9.26163048089463"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","1999","Firearm","452","4226018","10.7","10.766258551989"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","1999","Firearm","199","3386401","5.88","5.98984677075368"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","1999","Firearm","68","774990","8.77","8.7333785581167"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","1999","Firearm","163","570220","28.59","25.7828783647913"
"Both Sexes","All Races","Florida","Both","All Ages","1999","1999","Firearm","1721","15759421","10.92","10.6559431767544"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","1999","Firearm","1105","8045966","13.73","13.6612951228836"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","1999","Firearm","42","1210300","3.47","3.43035811330169"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","1999","Firearm","151","1275675","11.84","12.2160417924606"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","1999","Firearm","1209","12359023","9.78","9.67735933061516"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","1999","Firearm","680","6044972","11.25","11.1757863714369"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","1999","Firearm","202","2917637","6.92","6.75719222230272"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","1999","Firearm","269","2678340","10.04","9.98879262384779"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","1999","Firearm","525","4018053","13.07","12.9207608965198"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","1999","Firearm","779","4460814","17.46","17.5270840271298"
"Both Sexes","All Races","Maine","Both","All Ages","1999","1999","Firearm","113","1266808","8.92","8.70630526724204"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","1999","Firearm","657","5254511","12.5","12.7617250450015"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","1999","Firearm","195","6317345","3.09","3.05261372071005"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","1999","Firearm","1085","9897117","10.96","10.9734872023462"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","1999","Firearm","296","4873481","6.07","6.05719170749437"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","1999","Firearm","515","2828412","18.21","18.2326576099766"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","1999","Firearm","711","5561950","12.78","12.7237722634172"
"Both Sexes","All Races","Montana","Both","All Ages","1999","1999","Firearm","123","897511","13.7","13.4901480523558"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","1999","Firearm","146","1704765","8.56","8.61013787247355"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","1999","Firearm","375","1934719","19.38","19.8985403286845"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","1999","Firearm","71","1222015","5.81","5.8982440071233"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","1999","Firearm","366","8359593","4.38","4.38190075448596"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","1999","Firearm","290","1808082","16.04","16.3515342140523"
"Both Sexes","All Races","New York","Both","All Ages","1999","1999","Firearm","1016","18882726","5.38","5.32196426206725"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","1999","Firearm","1057","7949362","13.3","12.9826695981242"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","1999","Firearm","49","644259","7.61","7.43363413591267"
"Both Sexes","All Races","Ohio","Both","All Ages","1999","1999","Firearm","939","11335457","8.28","8.26427294632834"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","1999","Firearm","509","3437148","14.81","14.7539966906654"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","1999","Firearm","389","3393941","11.46","11.33676254673"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","1999","Firearm","1190","12263805","9.7","9.72341390973879"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","1999","Firearm","56","1040402","5.38","5.30659578977783"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","1999","Firearm","552","3974684","13.89","13.7471945837435"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","1999","Firearm","73","750417","9.73","9.6704573773832"
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","1999","Firearm","848","5638708","15.04","14.7962330238714"
"Both Sexes","All Races","Texas","Both","All Ages","1999","1999","Firearm","2117","20558220","10.3","10.5366849326153"
"Both Sexes","All Races","Utah","Both","All Ages","1999","1999","Firearm","192","2203483","8.71","9.52134715478517"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","1999","Firearm","57","604687","9.43","9.35597016355288"
"Both Sexes","All Races","Virginia","Both","All Ages","1999","1999","Firearm","823","7000176","11.76","11.6568612158898"
"Both Sexes","All Races","Washington","Both","All Ages","1999","1999","Firearm","585","5842565","10.01","10.0876615272429"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","1999","Firearm","250","1811801","13.8","13.2544881079382"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","1999","Firearm","448","5332666","8.4","8.31899760473135"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","1999","Firearm","74","491780","15.05","15.2491121205459"
"Both Sexes","All Races","","Both","All Ages","1999","1999","Firearm","28874","279040238","10.35","."
