"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2013","2013","Firearm","860","4827660","17.81","17.5242381804901"
"Both Sexes","All Races","Alaska","Both","All Ages","2013","2013","Firearm","144","736760","19.55","19.5466995811453"
"Both Sexes","All Races","Arizona","Both","All Ages","2013","2013","Firearm","941","6616124","14.22","14.0436091200691"
"Both Sexes","All Races","Arkansas","Both","All Ages","2013","2013","Firearm","501","2956780","16.94","16.7161784183878"
"Both Sexes","All Races","California","Both","All Ages","2013","2013","Firearm","3026","38347383","7.89","7.67356205071073"
"Both Sexes","All Races","Colorado","Both","All Ages","2013","2013","Firearm","619","5262556","11.76","11.4993523861336"
"Both Sexes","All Races","Connecticut","Both","All Ages","2013","2013","Firearm","161","3602470","4.47","4.44080738513893"
"Both Sexes","All Races","Delaware","Both","All Ages","2013","2013","Firearm","100","925114","10.81","10.3711692111547"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2013","2013","Firearm","71","650114","10.92","8.51713741733419"
"Both Sexes","All Races","Florida","Both","All Ages","2013","2013","Firearm","2442","19584927","12.47","11.7972315700102"
"Both Sexes","All Races","Georgia","Both","All Ages","2013","2013","Firearm","1262","9981773","12.64","12.5724781256238"
"Both Sexes","All Races","Hawaii","Both","All Ages","2013","2013","Firearm","38","1408038","2.7","2.57928289434758"
"Both Sexes","All Races","Idaho","Both","All Ages","2013","2013","Firearm","227","1610187","14.1","14.1323441173739"
"Both Sexes","All Races","Illinois","Both","All Ages","2013","2013","Firearm","1117","12890403","8.67","8.53107993999308"
"Both Sexes","All Races","Indiana","Both","All Ages","2013","2013","Firearm","857","6567484","13.05","13.0339019056793"
"Both Sexes","All Races","Iowa","Both","All Ages","2013","2013","Firearm","253","3089876","8.19","8.0425125861237"
"Both Sexes","All Races","Kansas","Both","All Ages","2013","2013","Firearm","331","2892900","11.44","11.1839855480043"
"Both Sexes","All Races","Kentucky","Both","All Ages","2013","2013","Firearm","622","4399121","14.14","13.5598687121698"
"Both Sexes","All Races","Louisiana","Both","All Ages","2013","2013","Firearm","886","4626795","19.15","19.0947673871317"
"Both Sexes","All Races","Maine","Both","All Ages","2013","2013","Firearm","158","1327975","11.9","10.8002114779449"
"Both Sexes","All Races","Maryland","Both","All Ages","2013","2013","Firearm","578","5932654","9.74","9.62666429960254"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2013","2013","Firearm","213","6711138","3.17","3.0516936679258"
"Both Sexes","All Races","Michigan","Both","All Ages","2013","2013","Firearm","1190","9899219","12.02","11.9504672645958"
"Both Sexes","All Races","Minnesota","Both","All Ages","2013","2013","Firearm","427","5416074","7.88","7.6434561416848"
"Both Sexes","All Races","Mississippi","Both","All Ages","2013","2013","Firearm","525","2987721","17.57","17.6726682616906"
"Both Sexes","All Races","Missouri","Both","All Ages","2013","2013","Firearm","880","6041142","14.57","14.3448011743911"
"Both Sexes","All Races","Montana","Both","All Ages","2013","2013","Firearm","172","1011921","17","16.8043901881219"
"Both Sexes","All Races","Nebraska","Both","All Ages","2013","2013","Firearm","168","1867414","9","9.05735826320437"
