"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Alabama","Both","All Ages","2000","2000","Firearm","766","4451687","17.21","17.1119737658193"
"Both Sexes","All Races","Alaska","Both","All Ages","2000","2000","Firearm","116","627428","18.49","17.9220329588124"
"Both Sexes","All Races","Arizona","Both","All Ages","2000","2000","Firearm","796","5166810","15.41","15.4607156716168"
"Both Sexes","All Races","Arkansas","Both","All Ages","2000","2000","Firearm","416","2678217","15.53","15.3915737672067"
"Both Sexes","All Races","California","Both","All Ages","2000","2000","Firearm","3108","33998767","9.14","9.23009042836158"
"Both Sexes","All Races","Colorado","Both","All Ages","2000","2000","Firearm","443","4327788","10.24","10.2876155694727"
"Both Sexes","All Races","Connecticut","Both","All Ages","2000","2000","Firearm","179","3411714","5.25","5.30301594385781"
"Both Sexes","All Races","Delaware","Both","All Ages","2000","2000","Firearm","52","786404","6.61","6.6261023877128"
"Both Sexes","All Races","District of Columbia","Both","All Ages","2000","2000","Firearm","149","571723","26.06","22.2358966548484"
"Both Sexes","All Races","Florida","Both","All Ages","2000","2000","Firearm","1692","16047246","10.54","10.1387263870856"
"Both Sexes","All Races","Georgia","Both","All Ages","2000","2000","Firearm","1096","8230053","13.32","13.3184474857553"
"Both Sexes","All Races","Hawaii","Both","All Ages","2000","2000","Firearm","52","1211479","4.29","4.20082086059499"
"Both Sexes","All Races","Idaho","Both","All Ages","2000","2000","Firearm","127","1299474","9.77","10.1412755513222"
"Both Sexes","All Races","Illinois","Both","All Ages","2000","2000","Firearm","1130","12437888","9.09","8.97767522790407"
"Both Sexes","All Races","Indiana","Both","All Ages","2000","2000","Firearm","666","6091392","10.93","10.8524609831145"
"Both Sexes","All Races","Iowa","Both","All Ages","2000","2000","Firearm","190","2928046","6.49","6.45891111072226"
"Both Sexes","All Races","Kansas","Both","All Ages","2000","2000","Firearm","299","2692681","11.1","11.1288940145752"
"Both Sexes","All Races","Kentucky","Both","All Ages","2000","2000","Firearm","542","4048831","13.39","13.2263378569607"
"Both Sexes","All Races","Louisiana","Both","All Ages","2000","2000","Firearm","790","4468879","17.68","17.5785047010779"
"Both Sexes","All Races","Maine","Both","All Ages","2000","2000","Firearm","112","1277179","8.77","8.53065020384313"
"Both Sexes","All Races","Maryland","Both","All Ages","2000","2000","Firearm","617","5310451","11.62","11.8652951751084"
"Both Sexes","All Races","Massachusetts","Both","All Ages","2000","2000","Firearm","176","6362583","2.77","2.71819335757729"
"Both Sexes","All Races","Michigan","Both","All Ages","2000","2000","Firearm","1071","9955146","10.76","10.8057376661288"
"Both Sexes","All Races","Minnesota","Both","All Ages","2000","2000","Firearm","312","4933787","6.32","6.31172299953808"
"Both Sexes","All Races","Mississippi","Both","All Ages","2000","2000","Firearm","471","2848293","16.54","16.5324354942691"
"Both Sexes","All Races","Missouri","Both","All Ages","2000","2000","Firearm","742","5605868","13.24","13.2103563898475"
"Both Sexes","All Races","Montana","Both","All Ages","2000","2000","Firearm","134","903283","14.83","14.8232730488783"
"Both Sexes","All Races","Nebraska","Both","All Ages","2000","2000","Firearm","168","1713194","9.81","9.7505357377285"
"Both Sexes","All Races","Nevada","Both","All Ages","2000","2000","Firearm","341","2018244","16.9","17.073174007637"
"Both Sexes","All Races","New Hampshire","Both","All Ages","2000","2000","Firearm","79","1240361","6.37","6.24587277712322"
"Both Sexes","All Races","New Jersey","Both","All Ages","2000","2000","Firearm","341","8430913","4.04","4.101733921767"
"Both Sexes","All Races","New Mexico","Both","All Ages","2000","2000","Firearm","291","1820704","15.98","16.0625677449449"
"Both Sexes","All Races","New York","Both","All Ages","2000","2000","Firearm","1093","18998429","5.75","5.68713345948947"
"Both Sexes","All Races","North Carolina","Both","All Ages","2000","2000","Firearm","1113","8078824","13.78","13.4981650929085"
"Both Sexes","All Races","North Dakota","Both","All Ages","2000","2000","Firearm","43","641183","6.71","6.61484746468698"
"Both Sexes","All Races","Ohio","Both","All Ages","2000","2000","Firearm","890","11363719","7.83","7.79753531022277"
"Both Sexes","All Races","Oklahoma","Both","All Ages","2000","2000","Firearm","454","3453861","13.14","13.1883287542275"
"Both Sexes","All Races","Oregon","Both","All Ages","2000","2000","Firearm","378","3430828","11.02","10.7698009863032"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","2000","2000","Firearm","1256","12285041","10.22","10.1489569010559"
"Both Sexes","All Races","Rhode Island","Both","All Ages","2000","2000","Firearm","54","1050725","5.14","5.08893573003068"
"Both Sexes","All Races","South Carolina","Both","All Ages","2000","2000","Firearm","499","4023396","12.4","12.3734914555006"
"Both Sexes","All Races","South Dakota","Both","All Ages","2000","2000","Firearm","56","755657","7.41","7.46204512580823"
"Both Sexes","All Races","Tennessee","Both","All Ages","2000","2000","Firearm","898","5703094","15.75","15.5865570692677"
"Both Sexes","All Races","Texas","Both","All Ages","2000","2000","Firearm","2168","20946049","10.35","10.5152250752304"
"Both Sexes","All Races","Utah","Both","All Ages","2000","2000","Firearm","193","2244210","8.6","9.87134500571552"
"Both Sexes","All Races","Vermont","Both","All Ages","2000","2000","Firearm","55","609876","9.02","8.70512309285564"
"Both Sexes","All Races","Virginia","Both","All Ages","2000","2000","Firearm","794","7104354","11.18","11.0882191122855"
"Both Sexes","All Races","Washington","Both","All Ages","2000","2000","Firearm","523","5911104","8.85","8.90432810385685"
"Both Sexes","All Races","West Virginia","Both","All Ages","2000","2000","Firearm","242","1806977","13.39","12.9943328964195"
"Both Sexes","All Races","Wisconsin","Both","All Ages","2000","2000","Firearm","432","5374133","8.04","7.97704027998514"
"Both Sexes","All Races","Wyoming","Both","All Ages","2000","2000","Firearm","58","493963","11.74","11.6997609912895"
"Both Sexes","All Races","","Both","All Ages","2000","2000","Firearm","28663","282171936","10.16","."
